All Recall value	All Precision@10 values
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.6
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
0.0	0.0
1.0	0.1
1.0	0.4
1.0	0.5
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.6
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.3
1.0	0.3
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.7
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.7
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.6
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.6
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.1
1.0	0.2
1.0	0.5
1.0	0.5
1.0	0.3
1.0	0.0
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.4
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.7
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.4
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
0.9230769230769231	0.4
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.0
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.0
1.0	0.2
1.0	0.1
1.0	0.4
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.9
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.6
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.6
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.4
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.6
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.4
1.0	0.4
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.3
1.0	0.8
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.4
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.0
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.0
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.3
1.0	0.0
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.6
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.0
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.4
1.0	0.1
1.0	0.9
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.0
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
0.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.0
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.6
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.6
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.4
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.4
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.5
1.0	0.2
1.0	0.3
1.0	0.0
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.3
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.7
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.0
1.0	0.1
1.0	0.1
0.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
0.0	0.0
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.4
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.2
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.5
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.2
1.0	0.1
1.0	0.1
1.0	0.0
1.0	0.4
1.0	0.1
1.0	0.1
1.0	0.1
1.0	0.3
1.0	0.1
